Fuente de energía,Mineral estratégico,Nivel de democratización energética,Número de comunidades energéticas,Número de proyectos en marcha,Capacidad generada (MW),Reducción de CO2 (toneladas)
Hidráulica,Cobre,Alto,27,16,371.15,14251.36
Geotérmica,Litio,Medio,6,7,277.5,2353.52
Hidrógeno verde,Cobre,Alto,31,4,355.86,8460.55
Geotérmica,Cobalto,Alto,46,1,484.64,69479.73
Geotérmica,Litio,Bajo,6,5,347.13,53900.28
Eólica,Manganeso,Medio,30,10,420.11,75241.16
Hidrógeno verde,Níquel,Medio,21,5,434.77,91403.41
Hidrógeno verde,Cobre,Alto,44,4,420.86,58929.8
Hidrógeno verde,Níquel,Medio,37,2,218.78,72885.96
Geotérmica,Níquel,Bajo,13,10,119.06,75951.04
Hidráulica,Litio,Alto,47,19,204.36,38407.2
Hidrógeno verde,Níquel,Alto,43,1,447.03,24867.4
Geotérmica,Manganeso,Medio,33,5,81.84,21299.49
Eólica,Níquel,Bajo,46,13,261.53,25892.8
Hidráulica,Litio,Alto,30,4,124.28,28198.45
Eólica,Manganeso,Medio,39,16,294.84,21515.54
Hidráulica,Cobalto,Medio,29,16,432.94,87943.85
Geotérmica,Níquel,Alto,28,2,441.38,75942.91
Solar,Litio,Medio,17,17,125.98,5642.75
Hidráulica,Cobalto,Alto,11,12,454.77,27598.58
Eólica,Cobalto,Bajo,40,18,300.03,3196.29
Geotérmica,Cobre,Medio,49,3,181.61,50318.35
Hidráulica,Manganeso,Medio,24,1,357.01,48144.86
Solar,Níquel,Bajo,5,1,246.02,83305.78
Solar,Litio,Bajo,12,19,195.21,31469.95
Hidrógeno verde,Cobre,Alto,20,11,355.49,81822.19
Hidrógeno verde,Manganeso,Medio,18,5,131.87,96829.4
Eólica,Cobre,Bajo,16,12,171.82,9752.41
Hidráulica,Manganeso,Alto,27,3,222.88,79389.97
Hidráulica,Manganeso,Alto,19,1,134.3,59405.63
Hidrógeno verde,Níquel,Medio,32,1,208.55,48524.55
Hidráulica,Manganeso,Alto,38,8,290.02,42633.04
Hidráulica,Cobre,Bajo,6,10,373.08,78682.16
Solar,Manganeso,Bajo,36,11,385.93,64296.77
Hidrógeno verde,Níquel,Alto,27,12,413.17,80699.42
Geotérmica,Níquel,Alto,26,13,374.66,90411.95
Hidrógeno verde,Cobre,Alto,29,12,343.71,62109.11
Geotérmica,Cobalto,Medio,26,14,126.38,98065.81
Solar,Cobalto,Alto,26,2,206.11,61200.7
Eólica,Manganeso,Alto,46,19,244.08,64027.79
Hidráulica,Litio,Alto,10,18,50.62,55926.75
Solar,Manganeso,Alto,19,3,268.9,10009.21
Hidráulica,Cobre,Medio,47,17,223.8,72913.31
Eólica,Cobre,Medio,41,8,403.03,55197.18
Eólica,Cobre,Medio,37,10,489.17,45640.13
Solar,Cobre,Alto,12,2,282.44,91136.66
Eólica,Cobre,Alto,48,19,168.12,30497.99
Geotérmica,Níquel,Bajo,48,9,31.27,52836.63
Eólica,Cobalto,Medio,9,7,463.08,70066.55
Hidráulica,Cobre,Medio,43,4,460.37,79850.71
Hidráulica,Litio,Medio,8,18,133.97,46475.33
Hidráulica,Litio,Alto,10,13,350.75,84367.05
Hidráulica,Litio,Bajo,49,11,46.96,77122.86
Geotérmica,Litio,Bajo,36,4,91.45,7557.36
Hidrógeno verde,Níquel,Medio,34,4,116.24,5540.27
Solar,Litio,Bajo,39,10,154.3,62459.76
Hidráulica,Cobre,Medio,44,5,497.96,35393.93
Eólica,Manganeso,Alto,20,9,351.49,21703.95
Hidráulica,Litio,Alto,17,3,198.26,58385.34
Eólica,Níquel,Medio,46,17,371.18,34814.76
Eólica,Níquel,Medio,34,3,458.47,54189.08
Hidráulica,Litio,Medio,23,16,479.76,46551.8
Geotérmica,Manganeso,Medio,21,4,38.35,58891.84
Eólica,Litio,Bajo,23,18,203.32,40629.75
Eólica,Níquel,Medio,32,17,62.31,70069.09
Hidráulica,Cobalto,Alto,30,7,174.47,18826.66
Eólica,Cobre,Medio,41,5,93.14,69953.65
Eólica,Níquel,Alto,30,12,326.96,41754.46
Hidráulica,Litio,Medio,27,17,200.25,87557.44
Hidráulica,Cobre,Medio,13,13,122.4,52008.37
Solar,Litio,Medio,16,3,140.31,97337.92
Geotérmica,Litio,Medio,5,9,186.57,60591.6
Geotérmica,Cobalto,Alto,5,17,137.38,23161.06
Eólica,Cobre,Bajo,38,17,232.09,82357.27
Geotérmica,Cobre,Medio,36,16,25.83,35163.18
Eólica,Cobalto,Medio,29,13,147.08,35414.3
Solar,Níquel,Alto,44,19,211.49,4148.66
Hidráulica,Litio,Bajo,49,17,305.36,55322.82
Hidráulica,Manganeso,Alto,5,4,142.77,53907.93
Hidráulica,Litio,Medio,20,12,75.26,36243.16
Geotérmica,Litio,Bajo,43,9,47.34,89527.51
Solar,Níquel,Alto,9,19,470.86,13746.09
Geotérmica,Litio,Alto,26,12,214.15,33679.85
Geotérmica,Cobalto,Alto,33,9,294.77,32836.69
Solar,Cobalto,Medio,7,7,460.4,10136.77
Solar,Cobre,Medio,16,14,50.55,48633.39
Solar,Manganeso,Medio,30,19,439.56,69090.69
Solar,Litio,Alto,20,15,280.28,51654.04
Hidráulica,Litio,Bajo,41,16,90.77,16540.79
Hidrógeno verde,Níquel,Medio,26,5,211.52,38351.31
Hidrógeno verde,Cobalto,Bajo,33,3,391.03,1256.91
Solar,Manganeso,Bajo,18,12,245.38,86961.81
Hidrógeno verde,Cobre,Medio,32,4,492.79,9367.18
Hidrógeno verde,Cobalto,Medio,9,16,194.6,60130.53
Solar,Cobre,Medio,34,7,377.29,98639.44
Hidrógeno verde,Níquel,Alto,9,13,202.56,54122.47
Geotérmica,Níquel,Alto,16,10,416.29,92480.13
Eólica,Litio,Bajo,20,7,288.85,24375.54
Eólica,Manganeso,Bajo,30,14,41.12,76235.59
Solar,Cobre,Medio,30,5,28.04,53595.31
